File,aid,Date,0,1,2,3,4,5,6,8,9,10,11,12,13,14,32,33,34,35,36,37,38,48,49,50,51,52,53,54,64,65,66,67,68,69,70,72,73,74,75,76,128,129,130,131,132,133,134,136,137,138,139,140,160,161,162,163,164,165,166,176,177,178,179,180,181,182,192,193,194,195,196,197,198,200,201,202,203,204
FparExtra_QC_2002185_aid0001,aid0001,2002-07-04,2694920,584182,35820,185.0,105.0,9.0,,2950220,285545,22621,19.0,,,,512337,196972,17068,39,309,18,1.0,123687,24730,2232,4.0,129,13.0,,79903,57630,6886,9.0,155,25.0,,482273,8200,781,,81.0,8852272,761446,37598,4.0,130,14.0,,11721428,428731,17148,,,2356344,309100,18288,1.0,257,27.0,,419252,38631,2237,,73,9.0,,101444,65336,6148,,96,7.0,,1633713,10995,598,,26.0
FparExtra_QC_2002193_aid0001,aid0001,2002-07-12,2169138,438093,27833,211.0,12.0,,,2942861,366749,22808,15.0,,,,876340,250022,23254,48,82,5,1.0,149628,30008,2716,1.0,46,,,82474,58939,6834,7.0,45,8.0,,631097,7057,706,,70.0,8864852,762755,34788,5.0,36,1.0,,11112814,447702,18574,,,2884984,345633,19953,6.0,304,3.0,,438540,37827,2218,,63,12.0,,135780,59754,5164,,91,11.0,,1600560,8469,446,,8.0
FparExtra_QC_2002201_aid0001,aid0001,2002-07-20,1928893,504946,34911,142.0,31.0,3.0,,2924383,206946,12395,102.0,3.0,,,1017661,307400,24859,7,444,59,,207061,45870,3076,,236,15.0,,98446,74283,8674,2.0,457,17.0,2.0,678272,6793,649,,70.0,10515796,810896,40864,6.0,81,19.0,,9320180,308966,12471,2.0,,2964244,366816,19584,1.0,790,43.0,1.0,581071,71934,3500,,220,29.0,,227696,69688,5957,,321,17.0,,1450741,8905,489,,25.0
FparExtra_QC_2002209_aid0001,aid0001,2002-07-28,1193191,259153,17872,,48.0,4.0,,1592582,109012,6244,,,,,2591349,686606,46572,341,2446,224,7.0,256384,56261,4222,,640,52.0,,101338,71455,8747,7.0,570,39.0,,553543,6297,653,,74.0,9399719,711598,34860,,31,42.0,,4157435,118126,3722,,,5303791,682366,32558,9.0,4335,524.0,12.0,1525238,100148,4844,,1092,145.0,2.0,249228,70784,6138,,1206,123.0,,1007905,6251,297,,23.0
FparExtra_QC_2002217_aid0001,aid0001,2002-08-05,3575987,608545,40612,177.0,12.0,1.0,,2325680,296466,19929,10.0,,,,449957,155707,14286,13,51,103,,51600,15011,1635,42.0,27,27.0,4.0,107832,58045,6600,10.0,10,23.0,,351880,6168,650,,8.0,12841871,879662,41264,7.0,67,,,8104606,387639,16319,,,2288397,310514,17941,1.0,272,45.0,,464541,45662,2603,,157,15.0,,149125,56174,4700,,128,72.0,,1160724,8372,470,,5.0
FparExtra_QC_2002225_aid0001,aid0001,2002-08-13,2528851,548528,37325,214.0,24.0,15.0,,2592439,208314,12037,13.0,2.0,,,813303,262936,22528,12,412,83,,216223,33660,3744,6.0,141,15.0,,73380,68542,8275,6.0,337,19.0,,647860,7166,548,,150.0,12128191,882393,45277,1.0,31,,,8714355,286983,10189,3.0,8.0,2205610,343879,18510,9.0,351,55.0,,633434,54124,3042,,168,42.0,,190960,67595,5447,,234,17.0,,1183246,6819,320,,60.0
FparExtra_QC_2002233_aid0001,aid0001,2002-08-21,2430005,619186,41038,146.0,16.0,3.0,,2757920,199355,13250,39.0,,,,786871,216337,16928,6,233,42,,148693,26031,2547,3.0,57,10.0,2.0,118023,62079,8596,8.0,72,15.0,,632860,5976,724,,37.0,10809533,764646,37886,3.0,9,2.0,,9284469,316451,13738,2.0,,2573846,357395,19081,,83,9.0,3.0,612418,83116,4373,,43,5.0,,204799,78036,6857,,37,,,1604339,9629,538,,7.0
FparExtra_QC_2002241_aid0001,aid0001,2002-08-29,3122570,703153,43898,84.0,,,,2165940,203032,13214,61.0,,,,696118,193665,15607,33,44,20,,114220,23594,1565,10.0,13,8.0,,124714,57705,7832,9.0,19,10.0,,594676,4681,597,4.0,12.0,10082274,825964,39122,4.0,12,,,10375571,394010,16608,1.0,,2273377,316591,16776,1.0,200,4.0,,375191,33905,2083,,60,,,183606,66765,6380,,42,1.0,,1765792,6586,418,,9.0
FparExtra_QC_2003153_aid0001,aid0001,2003-06-02,2713653,438089,31288,68.0,1353.0,121.0,2.0,2405080,304619,17042,115.0,,,,861163,322543,25294,21,512,33,1.0,259535,77833,6046,3.0,30,2.0,,98726,46418,5467,5.0,336,13.0,,465512,5575,592,,18.0,9140043,657336,32165,9.0,5939,347.0,8.0,10141876,307178,11543,1.0,,3449210,544606,30639,7.0,3698,328.0,12.0,948629,112363,6052,,247,10.0,,99693,47197,4057,,630,35.0,,1231671,5518,294,,12.0
