File,aid,Date,0,8,16,32,40,48,97,105,113,157
FparLai_QC_2000153_aid0001,aid0001,2000-06-01,27753047,674585,931643,3968747,18926,97219,1129573,146951,147770,1621981
FparLai_QC_2000161_aid0001,aid0001,2000-06-09,23991241,1983820,1750577,3231913,24205,104396,1922111,1520322,339876,1621981
FparLai_QC_2000169_aid0001,aid0001,2000-06-17,25762908,1468944,1697676,3125617,50515,133183,2065325,297747,266546,1621981
FparLai_QC_2000177_aid0001,aid0001,2000-06-25,25521526,1481819,1400239,3344857,46933,143692,2262766,318187,348442,1621981
FparLai_QC_2000185_aid0001,aid0001,2000-07-03,26629007,750018,872175,4267314,35687,170346,1843001,139545,161368,1621981
FparLai_QC_2000193_aid0001,aid0001,2000-07-11,27505660,601757,676212,4076150,47691,167145,1546479,101117,146250,1621981
FparLai_QC_2000201_aid0001,aid0001,2000-07-19,26676375,902398,987509,3427486,47697,154595,2008162,393664,270575,1621981
FparLai_QC_2000209_aid0001,aid0001,2000-07-27,25974697,1302486,1126483,2921748,56712,178664,1844682,926840,536149,1621981
FparLai_QC_2000217_aid0001,aid0001,2000-08-04,10231572,2208687,903721,1010361,15619,62509,4111360,8475186,1281303,1559845
FparLai_QC_2000225_aid0001,aid0001,2000-08-12,15573702,8340094,600945,741263,629386,38140,2793221,5588238,563270,1622183
FparLai_QC_2000233_aid0001,aid0001,2000-08-20,27562970,769799,902925,4478238,32487,234597,666942,73366,147137,1621981
FparLai_QC_2000241_aid0001,aid0001,2000-08-28,26952521,1330942,1163605,3381433,38105,167806,911291,601944,320814,1621981
FparLai_QC_2001153_aid0001,aid0001,2001-06-02,24942932,1861205,1646950,2695985,43927,101304,2485288,701478,389392,1621981
FparLai_QC_2001161_aid0001,aid0001,2001-06-10,25249094,1448429,1317542,2776988,21804,127453,2322086,1152378,452687,1621981
FparLai_QC_2001185_aid0001,aid0001,2001-07-04,26559320,1118305,1055093,3835005,45596,181527,1770020,136695,166900,1621981
FparLai_QC_2001193_aid0001,aid0001,2001-07-12,26637515,1050362,1135588,3601647,63320,213628,1850285,156756,159360,1621981
FparLai_QC_2001201_aid0001,aid0001,2001-07-20,25700331,1325349,1474005,3882339,52739,302752,1607269,199602,324075,1621981
