File,aid,Date,0,2,3,5,8,17,21,25,65,69,73,77,81,85,89,129,133,137,145,149,153,197,205,213
QC_Day_2000185_aid0001,aid0001,2000-07-03,2296692.0,4929581,67228,,,389304.0,,,1007243.0,,8.0,,400384.0,,,34927.0,,,6275.0,,,,,
QC_Day_2000186_aid0001,aid0001,2000-07-04,2892810.0,4391281,67228,,,280260.0,,,952906.0,,,,518662.0,,,16059.0,,,12436.0,,,,,
QC_Day_2000187_aid0001,aid0001,2000-07-05,3912572.0,3300205,67228,,6.0,360468.0,,,948255.0,,51.0,,495411.0,,,37321.0,,,10125.0,,,,,
QC_Day_2000188_aid0001,aid0001,2000-07-06,3745817.0,3239216,67228,,,398485.0,,,1200768.0,,1.0,,422350.0,,,35663.0,,,22114.0,,,,,
QC_Day_2000189_aid0001,aid0001,2000-07-07,3530537.0,3001959,67228,,1.0,348558.0,,,1680204.0,,136.0,,362778.0,,,104924.0,,,35317.0,,,,,
QC_Day_2000190_aid0001,aid0001,2000-07-08,3914003.0,3013208,67228,,1.0,287523.0,,,1426911.0,,,,301550.0,,,84878.0,,,36340.0,,,,,
QC_Day_2000191_aid0001,aid0001,2000-07-09,3518706.0,3733501,67228,,,303641.0,,,1134248.0,,38.0,,323770.0,,,21837.0,,,28673.0,,,,,
QC_Day_2000192_aid0001,aid0001,2000-07-10,3161692.0,3584487,67228,,9.0,372649.0,,,1459960.0,,95.0,,379479.0,,,97904.0,,,8139.0,,,,,
QC_Day_2000193_aid0001,aid0001,2000-07-11,3753604.0,3419771,67228,,2.0,237903.0,,,1121050.0,,76.0,,450877.0,,,54090.0,,,27041.0,,,,,
QC_Day_2000194_aid0001,aid0001,2000-07-12,3638343.0,3389979,67228,,16.0,320739.0,,,1150361.0,,218.0,,420905.0,,,123711.0,,,20142.0,,,,,
QC_Day_2000195_aid0001,aid0001,2000-07-13,4037797.0,3273771,67228,,,197148.0,,,1173621.0,,3.0,,287120.0,,,56614.0,,,38340.0,,,,,
QC_Day_2000196_aid0001,aid0001,2000-07-14,4119534.0,2884160,67228,,1.0,212948.0,,,1385251.0,,22.0,,282620.0,,,113505.0,,,66373.0,,,,,
QC_Day_2000197_aid0001,aid0001,2000-07-15,3781337.0,3046667,67228,,2.0,351000.0,,,1484232.0,,399.0,,271679.0,,,95418.0,,,33680.0,,,,,
QC_Day_2000198_aid0001,aid0001,2000-07-16,2773455.0,4382003,67228,,7.0,328184.0,,,1170867.0,,78.0,,265391.0,,,88603.0,,,55826.0,,,,,
QC_Day_2000199_aid0001,aid0001,2000-07-17,2625848.0,4481977,67228,,,455810.0,,,1028497.0,,33.0,,372532.0,,,88579.0,,,11138.0,,,,,
QC_Day_2000200_aid0001,aid0001,2000-07-18,2803916.0,4437183,67228,,6.0,265556.0,,,938354.0,,84.0,,555871.0,,,40512.0,,,22932.0,,,,,
QC_Day_2000201_aid0001,aid0001,2000-07-19,3043364.0,3916638,67228,,11.0,376736.0,,,1126343.0,,142.0,,466629.0,,,127831.0,,,6720.0,,,,,
QC_Day_2000202_aid0001,aid0001,2000-07-20,3434606.0,3329539,67228,,2.0,239613.0,,,1376560.0,,69.0,,597067.0,,,71301.0,,,15657.0,,,,,
QC_Day_2000203_aid0001,aid0001,2000-07-21,3514287.0,3367837,67228,,15.0,380192.0,,,1297227.0,,76.0,,410966.0,,,74859.0,,,18955.0,,,,,
QC_Day_2000204_aid0001,aid0001,2000-07-22,3343215.0,3580003,67228,,,346123.0,,,1315707.0,,,,378737.0,,,76209.0,,,24420.0,,,,,
QC_Day_2000205_aid0001,aid0001,2000-07-23,3643191.0,3278463,67228,,5.0,353172.0,,,1379556.0,,14.0,,332422.0,,,44066.0,,,33525.0,,,,,
QC_Day_2000206_aid0001,aid0001,2000-07-24,4103952.0,2837433,67228,,2.0,488356.0,,,1298664.0,,169.0,,283931.0,,,34821.0,,,17086.0,,,,,
QC_Day_2000207_aid0001,aid0001,2000-07-25,3444983.0,3535170,67228,,1.0,320992.0,,,1270387.0,,1.0,,466567.0,,,6343.0,,,19970.0,,,,,
QC_Day_2000208_aid0001,aid0001,2000-07-26,3968903.0,3090768,67228,,4.0,426155.0,,,1214789.0,,24.0,,304855.0,,,47559.0,,,11357.0,,,,,
QC_Day_2000209_aid0001,aid0001,2000-07-27,3431387.0,3728202,67228,,,228546.0,,,1225189.0,,1.0,,401480.0,,,13807.0,,,35802.0,,,,,
QC_Day_2000210_aid0001,aid0001,2000-07-28,3491384.0,3672950,67228,,,376617.0,,,1053625.0,,4.0,,364209.0,,,91772.0,,,13853.0,,,,,
QC_Day_2000211_aid0001,aid0001,2000-07-29,2576393.0,5450443,67228,,1.0,373168.0,,,430470.0,,37.0,,216544.0,,,3175.0,,18.0,14165.0,,,,,
QC_Day_2000212_aid0001,aid0001,2000-07-30,2888274.0,4140707,67228,,5.0,329583.0,,,1274606.0,,39.0,,368739.0,,,38277.0,,,24184.0,,,,,
QC_Day_2000213_aid0001,aid0001,2000-07-31,2790293.0,4356950,67228,,2.0,485444.0,,,1238007.0,,78.0,,159643.0,,,21644.0,,,12353.0,,,,,
QC_Day_2000214_aid0001,aid0001,2000-08-01,3525870.0,3545892,67228,,7.0,404442.0,,,1179403.0,,37.0,,370899.0,,,14058.0,,,23806.0,,,,,
QC_Day_2000215_aid0001,aid0001,2000-08-02,1616129.0,5880763,67228,,30.0,322755.0,,,919121.0,,61.0,,225680.0,,,83233.0,,,16642.0,,,,,
QC_Day_2000216_aid0001,aid0001,2000-08-03,3084237.0,4123166,67228,,9.0,395204.0,,,1088059.0,,36.0,,340978.0,,,10228.0,,,22497.0,,,,,
QC_Day_2000217_aid0001,aid0001,2000-08-04,2447412.0,4354339,67228,,11.0,518518.0,,,1332757.0,,75.0,,271318.0,,,121933.0,,,18051.0,,,,,
QC_Day_2000218_aid0001,aid0001,2000-08-05,212304.0,8599247,67228,,,4667.0,,,225336.0,,8.0,,15560.0,,,4348.0,,,2944.0,,,,,
QC_Day_2000232_aid0001,aid0001,2000-08-19,3429241.0,3445756,67228,,2.0,328910.0,,,1367232.0,,41.0,,448778.0,,,9070.0,,,35384.0,,,,,
QC_Day_2000233_aid0001,aid0001,2000-08-20,3712536.0,3116473,67228,,,420529.0,,,1327741.0,,18.0,,453552.0,,,24458.0,,,9107.0,,,,,
QC_Day_2000234_aid0001,aid0001,2000-08-21,4700848.0,2573073,67228,,9.0,363589.0,,,998142.0,,87.0,,407670.0,,,5865.0,,,15131.0,,,,,
QC_Day_2000235_aid0001,aid0001,2000-08-22,3641045.0,3348399,67228,,18.0,366395.0,,,1213683.0,,71.0,,353151.0,,,122678.0,,,18974.0,,,,,
QC_Day_2000236_aid0001,aid0001,2000-08-23,3640179.0,3592991,67228,,4.0,257072.0,,,1177980.0,,55.0,,241058.0,,,99986.0,,,55089.0,,,,,
QC_Day_2000237_aid0001,aid0001,2000-08-24,3498525.0,3400677,67228,,12.0,374081.0,,,1391154.0,,40.0,,282319.0,,,69896.0,,,47710.0,,,,,
QC_Day_2000238_aid0001,aid0001,2000-08-25,3925522.0,2917338,67228,,15.0,361420.0,,,1445170.0,,3.0,,239769.0,,,138438.0,,,36739.0,,,,,
QC_Day_2000239_aid0001,aid0001,2000-08-26,3941066.0,3187457,67228,,,341623.0,,,1238660.0,2.0,6.0,,268097.0,,,30779.0,3.0,,56721.0,,,,,
QC_Day_2000240_aid0001,aid0001,2000-08-27,3293215.0,4070429,67228,,4.0,268750.0,,,1181123.0,,43.0,,185526.0,,,58019.0,,,7305.0,,,,,
QC_Day_2000241_aid0001,aid0001,2000-08-28,3893095.0,3866676,67228,,20.0,200460.0,,,878341.0,,43.0,,172528.0,,,24778.0,,,28473.0,,,,,
QC_Day_2000242_aid0001,aid0001,2000-08-29,3746992.0,3638487,67228,,2.0,125366.0,,,1348567.0,,,,126795.0,,,75167.0,,,3038.0,,,,,
QC_Day_2000243_aid0001,aid0001,2000-08-30,2976356.0,4913867,67228,,1.0,136359.0,,,812233.0,,93.0,,158071.0,,,49540.0,,,17894.0,,,,,
QC_Day_2000244_aid0001,aid0001,2000-08-31,2002165.0,5097005,67228,,,275708.0,,,1397720.0,,2.0,,196944.0,,,78219.0,,7.0,16644.0,,,,,
QC_Day_2001152_aid0001,aid0001,2001-06-01,3326539.0,4033651,67228,,370.0,231910.0,,,854446.0,,29.0,,611031.0,,,160.0,,,6278.0,,,,,
