File,aid,Date,0,2,3,5,8,17,21,25,65,69,73,81,85,89,129,133,137,145,149,153,197,213
QC_Night_2002228_aid0001,aid0001,2002-08-16,3831906,3643248,67228,,296.0,579886,,,884672,,103.0,102505,,1.0,10779,,12.0,11006,,,,
QC_Night_2002229_aid0001,aid0001,2002-08-17,3578879,3789995,67228,,673.0,493473,,5.0,1003865,,941.0,172266,,2.0,9762,,58.0,14495,,,,
QC_Night_2002230_aid0001,aid0001,2002-08-18,4223428,2905527,67228,,728.0,485016,,,1249942,,349.0,179250,,6.0,13886,,,6282,,,,
QC_Night_2002231_aid0001,aid0001,2002-08-19,4221602,3260380,67228,,1179.0,327824,,4.0,1084775,,909.0,125333,,,32230,,47.0,10131,,,,
QC_Night_2002232_aid0001,aid0001,2002-08-20,2801581,4496614,67228,,462.0,320864,,2.0,1223217,,275.0,164941,,3.0,45973,,26.0,10456,,,,
QC_Night_2002233_aid0001,aid0001,2002-08-21,2620974,4794649,67228,,1144.0,363014,,1.0,1064523,,552.0,199332,,5.0,9074,,20.0,11126,,,,
QC_Night_2002234_aid0001,aid0001,2002-08-22,3359423,3584713,67228,,676.0,526018,,7.0,1342129,,408.0,219251,,2.0,25611,,4.0,6172,,,,
QC_Night_2002235_aid0001,aid0001,2002-08-23,3139159,3935246,67228,,632.0,337683,,14.0,1392236,,494.0,215380,,,31054,,112.0,12404,,,,
QC_Night_2002236_aid0001,aid0001,2002-08-24,3208738,3818810,67228,,511.0,624213,,14.0,1198325,,563.0,189904,,3.0,14203,,1.0,9129,,,,
QC_Night_2002237_aid0001,aid0001,2002-08-25,3570528,3443487,67228,,833.0,736827,,15.0,1182578,,225.0,116585,,15.0,5293,,,8028,,,,
QC_Night_2002238_aid0001,aid0001,2002-08-26,4240799,2664148,67228,,723.0,755942,,8.0,1248396,,614.0,128939,,3.0,16027,,182.0,8633,,,,
QC_Night_2002239_aid0001,aid0001,2002-08-27,3215130,3810045,67228,,303.0,715366,,7.0,1184081,,141.0,123908,,1.0,7393,,3.0,8036,,,,
QC_Night_2002240_aid0001,aid0001,2002-08-28,3621781,3560884,67228,,401.0,386280,,2.0,1251664,,264.0,222157,,,6695,,,14286,,,,
QC_Night_2002241_aid0001,aid0001,2002-08-29,2646251,4527733,67228,,387.0,370129,,2.0,1320806,,182.0,178167,,8.0,13450,,3.0,7296,,,,
QC_Night_2002242_aid0001,aid0001,2002-08-30,3490950,3538865,67228,,391.0,471876,,,1280361,,122.0,266251,,2.0,439,,,15157,,,,
QC_Night_2002243_aid0001,aid0001,2002-08-31,3778357,3122009,67228,,223.0,348097,,1.0,1527912,,156.0,254381,,2.0,11623,,14.0,21639,,,,
QC_Night_2003152_aid0001,aid0001,2003-06-01,2645121,4695372,67228,,2392.0,439471,,8.0,1019296,,2261.0,240565,,8.0,8587,,,11333,,,,
QC_Night_2003153_aid0001,aid0001,2003-06-02,3647975,3496262,67228,,2002.0,565942,,1.0,1113013,,1435.0,219271,,4.0,4414,,,14095,,,,
QC_Night_2003154_aid0001,aid0001,2003-06-03,2810021,4710066,67228,,3320.0,559278,,,768770,,2587.0,196820,,1.0,339,,,13212,,,,
QC_Night_2003155_aid0001,aid0001,2003-06-04,2585643,4967542,67228,,3366.0,546677,,,791209,,1759.0,158322,,,4634,,,5262,,,,
